Column1,IN_PERSONAL_ANNO,IN_PERSONAL_MES,VC_PERSONAL_REGIMEN_LABORAL,VC_PERSONAL_CARGO,VC_PERSONAL_DEPENDENCIA,MO_PERSONAL_REMUNERACIONES,MO_PERSONAL_HONORARIOS,MO_PERSONAL_INCENTIVO,MO_PERSONAL_GRATIFICACION,MO_PERSONAL_OTROS_BENEFICIOS,MO_PERSONAL_TOTAL,VC_PERSONAL_OBSERVACIONES,FEC_REG,gender,male,female
779,2019,7,2,ESPECIALISTA EN INSPECTORIA. III,Ã“RGANO DE CONTROL INSTITUCIONAL,686.42,0,3013,300,0,3699.75,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
932,2019,7,3,ESPECIALISTA EN MEDIO AMBIENTE IV,DIRECCIÃ“N DE GESTIÃ“N AMBIENTAL AGRARIA,3993,0,0,4352,0,3993,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
931,2019,7,3,ESPECIALISTA I,DIRECCIÃ“N GENERAL DE ASUNTOS AMBIENTALES AGRARIOS,0,0,0,1884,0,1884.2467,LICENCIA SIN GOCE,8/14/2019 10:11:52 AM,male,1,0
662,2019,7,2,ESTADISTICO II,DIRECCION DE ESTADISTICA AGRARIA,655.57,0,3013,300,0,3668.9,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
923,2019,7,3,ESTADISTICO. I,DIRECCIÃ“N DE EVALUACIÃ“N DE LOS RECURSOS NATURALES.,2500,0,0,2725,0,2500,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
873,2019,7,2,ESTADISTICO. II,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,644.56,0,3013,300,0,3657.89,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
792,2019,7,2,FOTOGRAFO. III,OFICINA DE COMUNICACIONES E IMAGEN INSTITUCIONAL,545.64,0,2783,300,0,3328.97,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
67,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N DE ESTUDIOS ECONÃ“MICOS E INFORMACIÃ“N AGRARIA,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
99,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N DE POLÃTICAS Y NORMATIVIDAD AGRARIA,13500,0,0,0,300,13800,,8/13/2019 5:16:32 PM,male,1,0
132,2019,7,1,FUNCIONARIOS,OFICINA GENERAL DE PLANEAMIENTO Y PRESUPUESTO,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
213,2019,7,1,FUNCIONARIOS,OFICINA DE ATENCIÃ“N A LA CIUDADANIA Y GESTIÃ“N DOCUMENTARIA,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
221,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N DE SEGUIMIENTO Y EVALUACIÃ“N DE POLÃTICAS,13500,0,0,0,300,13800,,8/13/2019 5:16:32 PM,female,0,1
242,2019,7,1,FUNCIONARIOS,OFICINA DE TECNOLOGÃA DE LA INFORMACIÃ“N,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
288,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N AGRICOLA,13500,0,0,0,300,13800,,8/13/2019 5:16:32 PM,female,0,1
297,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N GENERAL DE ASUNTOS AMBIENTALES AGRARIOS,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
323,2019,7,1,FUNCIONARIOS,DESPACHO VICEMINISTERIAL DE DESARROLLO E INFRAESTRUCTURA AGRARIA Y RIEGO,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
341,2019,7,1,FUNCIONARIOS,OFICINA DE COOPERACIÃ“N INTERNACIONAL,13500,0,0,0,300,13800,,8/13/2019 5:16:32 PM,female,0,1
370,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N GENERAL AGRICOLA,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
382,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N GENERAL DE ARTICULACIÃ“N INTERGUBERNAMENTAL,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
389,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N DE GESTIÃ“N DESCENTRALIZADA,13000,0,0,0,300,13300,,8/13/2019 5:16:32 PM,female,0,1
394,2019,7,1,FUNCIONARIOS,DESPACHO VICEMINISTERIAL DE POLÃTICAS AGRARIAS,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
410,2019,7,1,FUNCIONARIOS,OFICINA DE TESORERÃA,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
458,2019,7,1,FUNCIONARIOS,PROCURADURÃA PÃšBLICA,14500,0,0,0,300,14800,,8/13/2019 5:16:32 PM,male,1,0
504,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N GENERAL DE SANEAMIENTO DE LA PROPIEDAD AGRARIA Y CATASTRO RURAL,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
605,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N GENERAL AGRICOLA,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
613,2019,7,1,FUNCIONARIOS,SECRETARÃA GENERAL,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
615,2019,7,1,FUNCIONARIOS,OFICINA DE PROGRAMACIÃ“N MULTIANUAL DE INVERSIONES,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,male,1,0
616,2019,7,1,FUNCIONARIOS,OFICINA DE ABASTECIMIENTO Y PATRIMONIO,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
617,2019,7,1,FUNCIONARIOS,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
618,2019,7,1,FUNCIONARIOS,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,15600,0,0,0,300,15900,,8/13/2019 5:16:32 PM,female,0,1
620,2019,7,1,FUNCIONARIOS,OFICINA DE CONTABILIDAD,15600,0,0,0,200,15800,,8/13/2019 5:16:32 PM,female,0,1
621,2019,7,1,FUNCIONARIOS,DESPACHO VICEMINISTERIAL DE DESARROLLO E INFRAESTRUCTURA AGRARIA Y RIEGO,15600,0,0,0,200,15800,,8/13/2019 5:16:32 PM,male,1,0
622,2019,7,1,FUNCIONARIOS,DESPACHO MINISTERIAL,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,male,1,0
623,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N GENERAL DE INFRAESTRUCTURA AGRARIA Y RIEGO,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,female,0,1
624,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,male,1,0
625,2019,7,1,FUNCIONARIOS,OFICINA DE PLANEAMIENTO,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,male,1,0
626,2019,7,1,FUNCIONARIOS,DIRECCIÃ“N DE EVALUACIÃ“N DE LOS RECURSOS NATURALES.,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,male,1,0
627,2019,7,1,FUNCIONARIOS,DESPACHO MINISTERIAL,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,male,1,0
628,2019,7,1,FUNCIONARIOS,OFICINA DE PRESUPUESTO,15600,0,0,0,100,15700,,8/13/2019 5:16:32 PM,male,1,0
630,2019,7,1,FUNCIONARIOS,DESPACHO MINISTERIAL,15600,0,0,0,0,15600,,8/13/2019 5:16:32 PM,male,1,0
631,2019,7,1,FUNCIONARIOS,DESPACHO VICEMINISTERIAL DE POLÃTICAS AGRARIAS,15600,0,0,0,0,15600,,8/13/2019 5:16:32 PM,male,1,0
637,2019,7,1,FUNCIONARIOS,PROCURADURÃA PÃšBLICA,15600,0,0,0,0,15600,,8/13/2019 5:16:32 PM,female,0,1
638,2019,7,1,FUNCIONARIOS,DESPACHO VICEMINISTERIAL DE POLÃTICAS AGRARIAS,15600,0,0,0,0,15600,,8/13/2019 5:16:32 PM,female,0,1
639,2019,7,1,FUNCIONARIOS,OFICINA DE TESORERÃA,15600,0,0,0,0,15600,,8/13/2019 5:16:32 PM,female,0,1
641,2019,7,1,FUNCIONARIOS,OFICINA DE DESARROLLO ORGANIZACIONAL Y MODERNIZACIÃ“N,15600,0,0,0,0,15600,,8/13/2019 5:16:32 PM,female,0,1
702,2019,7,2,ING. EN CIENCIAS AGRARIA III,DIRECCION GENERAL AGRICOLA,580.65,0,2783,300,0,3363.98,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
666,2019,7,2,ING. EN CIENCIAS AGRARIAS I,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,630.6,0,3013,300,0,3643.93,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
867,2019,7,2,ING. EN CIENCIAS AGRARIAS II,DIRECCION GENERAL DE SANEAMIENTO DE LA PROPIEDAD AGRARIA Y CATASTRO RURAL,655.57,0,4163,300,0,4818.9,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
668,2019,7,2,ING. EN CIENCIAS AGRARIAS III,DIRECCION GENERAL AGRICOLA,445.19,0,3013,300,0,3458.52,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
733,2019,7,2,INGENIERO EN CIENCIAS AGRARIAS II,DIRECCIÃ“N DE NEGOCIOS AGRICOLAS,655.57,0,3013,300,0,3668.9,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
663,2019,7,2,INGENIERO EN CIENCIAS AGRARIAS. IV,DIRECCIÃ“N DE NEGOCIOS PECUARIOS,294.62,0,1205,300,0,1499.95,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
835,2019,7,2,INGENIERO EN CIENCIAS AGRARIAS. IV,DIRECCIÃ“N DE NEGOCIOS AGRICOLAS,580.65,0,3013,300,0,3593.98,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
944,2019,7,7,MINISTRA,DESPACHO MINISTERIAL,30000,0,0,17833,0,47833.33,NINGUNA,8/14/2019 10:15:08 AM,female,0,1
725,2019,7,2,OPERADOR PAD II,OFICINA GENERAL DE ADMINISTRACION,515.1,0,2783,300,0,3298.43,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
832,2019,7,2,OPERADOR PAD II,OFICINA DE ABASTECIMIENTO Y PATRIMONIO,530.7,0,2783,300,0,3314.03,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
795,2019,7,2,OPERADOR PAD. III,OFICINA DE TECNOLOGÃA DE LA INFORMACIÃ“N,527.7,0,2783,300,0,3311.03,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
948,2019,7,8,PENSIONISTA,,827.88,0,0,0,300,1127.88,,8/14/2019 10:50:49 AM,male,1,0
949,2019,7,8,PENSIONISTA,,602.13,0,0,0,300,902.13,,8/14/2019 10:50:49 AM,male,1,0
950,2019,7,8,PENSIONISTA,,1259.98,0,0,0,300,1559.98,,8/14/2019 10:50:49 AM,female,0,1
951,2019,7,8,PENSIONISTA,,162.42,0,0,0,0,162.42,,8/14/2019 10:50:49 AM,female,0,1
952,2019,7,8,PENSIONISTA,,1090.59,0,0,0,300,1390.59,,8/14/2019 10:50:49 AM,female,0,1
953,2019,7,8,PENSIONISTA,,627.7,0,0,0,300,927.7,,8/14/2019 10:50:49 AM,male,1,0
954,2019,7,8,PENSIONISTA,,995.64,0,0,0,300,1295.64,,8/14/2019 10:50:49 AM,male,1,0
955,2019,7,8,PENSIONISTA,,747,0,0,0,300,1047,,8/14/2019 10:50:49 AM,male,1,0
956,2019,7,8,PENSIONISTA,,600,0,0,0,0,600,,8/14/2019 10:50:49 AM,female,0,1
957,2019,7,8,PENSIONISTA,,801.21,0,0,0,300,1101.21,,8/14/2019 10:50:49 AM,female,0,1
958,2019,7,8,PENSIONISTA,,474,0,0,0,300,774,,8/14/2019 10:50:49 AM,female,0,1
959,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:49 AM,female,0,1
960,2019,7,8,PENSIONISTA,,1035.95,0,0,0,300,1335.95,,8/14/2019 10:50:49 AM,male,1,0
961,2019,7,8,PENSIONISTA,,986.4,0,0,0,300,1286.4,,8/14/2019 10:50:49 AM,female,0,1
962,2019,7,8,PENSIONISTA,,925.03,0,0,0,300,1225.03,,8/14/2019 10:50:49 AM,female,0,1
963,2019,7,8,PENSIONISTA,,1227.72,0,0,0,300,1527.72,,8/14/2019 10:50:49 AM,male,1,0
964,2019,7,8,PENSIONISTA,,632.79,0,0,0,300,932.79,,8/14/2019 10:50:49 AM,female,0,1
965,2019,7,8,PENSIONISTA,,1027.23,0,0,0,300,1327.23,,8/14/2019 10:50:49 AM,male,1,0
966,2019,7,8,PENSIONISTA,,1077.49,0,0,0,300,1377.49,,8/14/2019 10:50:49 AM,male,1,0
967,2019,7,8,PENSIONISTA,,963.42,0,0,0,300,1263.42,,8/14/2019 10:50:49 AM,female,0,1
968,2019,7,8,PENSIONISTA,,841.5,0,0,0,300,1141.5,,8/14/2019 10:50:49 AM,male,1,0
969,2019,7,8,PENSIONISTA,,932.56,0,0,0,300,1232.56,,8/14/2019 10:50:49 AM,female,0,1
970,2019,7,8,PENSIONISTA,,1352.7,0,0,0,300,1652.7,,8/14/2019 10:50:49 AM,female,0,1
971,2019,7,8,PENSIONISTA,,550,0,0,0,0,550,,8/14/2019 10:50:49 AM,female,0,1
972,2019,7,8,PENSIONISTA,,1320.14,0,0,0,300,1620.14,,8/14/2019 10:50:49 AM,male,1,0
973,2019,7,8,PENSIONISTA,,1027.96,0,0,0,300,1327.96,,8/14/2019 10:50:49 AM,female,0,1
974,2019,7,8,PENSIONISTA,,750,0,0,0,300,1050,,8/14/2019 10:50:49 AM,female,0,1
975,2019,7,8,PENSIONISTA,,1163.94,0,0,0,300,1463.94,,8/14/2019 10:50:49 AM,female,0,1
976,2019,7,8,PENSIONISTA,,543.24,0,0,0,300,843.24,,8/14/2019 10:50:49 AM,male,1,0
977,2019,7,8,PENSIONISTA,,797.14,0,0,0,300,1097.14,,8/14/2019 10:50:49 AM,female,0,1
978,2019,7,8,PENSIONISTA,,2237,0,0,0,300,2537,,8/14/2019 10:50:49 AM,male,1,0
979,2019,7,8,PENSIONISTA,,725.96,0,0,0,300,1025.96,,8/14/2019 10:50:49 AM,male,1,0
980,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:49 AM,female,0,1
